time,robot_x,robot_y,robot_theta,intrusion_detected,num_intruders,num_alerts,closest_dist
15.050,6.030,1.500,0.000,False,0,0,
15.100,6.045,1.500,0.000,False,0,0,
15.150,6.060,1.500,0.000,False,0,0,
15.200,6.075,1.500,0.000,False,0,0,
15.250,6.090,1.500,0.000,False,0,0,
15.300,6.105,1.500,0.000,False,0,0,
15.350,6.120,1.500,0.000,False,0,0,
15.400,6.135,1.500,0.000,False,0,0,
15.450,6.150,1.500,0.000,False,0,0,
15.500,6.165,1.500,0.000,False,0,0,
15.550,6.180,1.500,0.000,False,0,0,
15.600,6.195,1.500,0.000,False,0,0,
15.650,6.210,1.500,0.000,False,0,0,
15.700,6.225,1.500,0.000,False,0,0,
15.750,6.240,1.500,0.000,False,0,0,
15.800,6.255,1.500,0.000,False,0,0,
15.850,6.270,1.500,0.000,False,0,0,
15.900,6.285,1.500,0.000,False,0,0,
15.950,6.300,1.500,0.000,False,0,0,
16.000,6.315,1.500,0.000,False,0,0,
16.050,6.330,1.500,0.000,False,0,0,
16.100,6.345,1.500,0.000,False,0,0,
16.150,6.360,1.500,0.000,False,0,0,
16.200,6.375,1.500,0.000,False,0,0,
16.250,6.390,1.500,0.000,False,0,0,
16.300,6.405,1.500,0.000,False,0,0,
16.350,6.420,1.500,0.000,False,0,0,
16.400,6.435,1.500,0.000,False,0,0,
16.450,6.450,1.500,0.000,False,0,0,
16.500,6.465,1.500,0.000,False,0,0,
16.550,6.480,1.500,0.000,False,0,0,
16.600,6.495,1.500,0.000,False,0,0,
16.650,6.510,1.500,0.000,False,0,0,
16.700,6.525,1.500,0.000,False,0,0,
16.750,6.540,1.500,0.000,False,0,0,
16.800,6.555,1.500,0.000,False,0,0,
16.850,6.570,1.500,0.000,False,0,0,
16.900,6.585,1.500,0.000,False,0,0,
16.950,6.600,1.500,0.000,False,0,0,
17.000,6.615,1.500,0.000,False,0,0,
17.050,6.630,1.500,0.000,False,0,0,
17.100,6.645,1.500,0.000,False,0,0,
17.150,6.660,1.500,0.000,False,0,0,
17.200,6.675,1.500,0.000,False,0,0,
17.250,6.690,1.500,0.000,False,0,0,
17.300,6.705,1.500,0.000,False,0,0,
17.350,6.720,1.500,0.000,False,0,0,
17.400,6.735,1.500,0.000,False,0,0,
17.450,6.750,1.500,0.000,False,0,0,
17.500,6.765,1.500,0.000,False,0,0,
17.550,6.780,1.500,0.000,False,0,0,
17.600,6.795,1.500,0.000,False,0,0,
17.650,6.810,1.500,0.000,False,0,0,
17.700,6.825,1.500,0.000,False,0,0,
17.750,6.840,1.500,0.000,False,0,0,
17.800,6.855,1.500,0.000,False,0,0,
17.850,6.870,1.500,0.000,False,0,0,
17.900,6.885,1.500,0.000,False,0,0,
17.950,6.900,1.500,0.000,False,0,0,
18.000,6.915,1.500,0.000,False,0,0,
18.050,6.930,1.500,0.000,False,0,0,
18.100,6.945,1.500,0.000,False,0,0,
18.150,6.960,1.500,0.000,False,0,0,
18.200,6.975,1.500,0.000,False,0,0,
18.250,6.990,1.500,0.000,False,0,0,
18.300,7.005,1.500,0.000,False,0,0,
